ACC_CD	ACC_NAME	제 50 기	제 49 기	제 48 기	DEPTH_1	DEPTH_2	DEPTH_3
1	자산	219,021,357	198,241,360	174,802,959	자산		
2	　유동자산	80,039,455	70,155,189	69,981,128	자산	유동자산	
3	　　현금및현금성자산	2,607,957	2,763,768	3,778,371	자산	유동자산	　　현금및현금성자산
4	　　단기금융상품	34,113,871	25,510,064	30,170,656	자산	유동자산	　　단기금융상품
5	　　매출채권	24,933,267	27,881,777	23,514,012	자산	유동자산	　　매출채권
6	　　미수금	1,515,079	2,201,402	2,319,782	자산	유동자산	　　미수금
7	　　선급금	807,262	1,097,598	814,300	자산	유동자산	　　선급금
8	　　선급비용	2,230,628	2,281,179	2,375,520	자산	유동자산	　　선급비용
9	　　재고자산	12,440,951	7,837,144	5,981,634	자산	유동자산	　　재고자산
10	　　기타유동자산	1,390,440	582,257	743,163	자산	유동자산	　　기타유동자산
11	　　매각예정분류자산	0	0	283,690	자산	유동자산	　　매각예정분류자산
12	　비유동자산	138,981,902	128,086,171	104,821,831	자산		
13	　　장기매도가능금융자산	0	973,353	913,989	자산	비유동자산	　　장기매도가능금융자산
14	　　기타포괄손익-공정가치금융자산	1,098,565	0	0	자산	비유동자산	　　기타포괄손익-공정가치금융자산
15	　　당기손익-공정가치금융자산	7,413	0	0	자산	비유동자산	　　당기손익-공정가치금융자산
16	　　종속기업, 관계기업 및 공동기업 투자	55,959,745	55,671,759	48,743,079	자산	비유동자산	　　종속기업, 관계기업 및 공동기업 투자
17	　　유형자산	70,602,493	62,816,961	47,228,830	자산	비유동자산	　　유형자산
18	　　무형자산	2,901,476	2,827,035	2,891,844	자산	비유동자산	　　무형자산
19	　　장기선급비용	4,108,410	3,031,327	3,507,399	자산	비유동자산	　　장기선급비용
20	　　순확정급여자산	562,356	811,210	557,091	자산	비유동자산	　　순확정급여자산
21	　　이연법인세자산	654,456	586,161	110,239	자산	비유동자산	　　이연법인세자산
22	　　기타비유동자산	3,086,988	1,368,365	869,360	자산	비유동자산	　　기타비유동자산
23	부채	46,033,232	46,671,585	37,256,197	부채		
24	　유동부채	43,145,053	44,495,084	34,076,122	부채	유동부채	
25	　　매입채무	7,315,631	6,398,629	6,162,650	부채	유동부채	　　매입채무
26	　　단기차입금	10,353,873	12,229,701	9,061,167	부채	유동부채	　　단기차입금
27	　　미지급금	8,385,752	9,598,654	7,635,740	부채	유동부채	　　미지급금
28	　　선수금	214,615	214,007	200,445	부채	유동부채	　　선수금
29	　　예수금	572,702	500,740	389,528	부채	유동부채	　　예수금
30	　　미지급비용	6,129,837	6,657,674	6,284,646	부채	유동부채	　　미지급비용
31	　　미지급법인세	7,925,887	6,565,781	2,055,829	부채	유동부채	　　미지급법인세
32	　　유동성장기부채	5,440	5,201	5,854	부채	유동부채	　　유동성장기부채
33	　　충당부채	2,135,314	2,273,688	2,221,717	부채	유동부채	　　충당부채
34	　　기타유동부채	106,002	51,009	58,546	부채	유동부채	　　기타유동부채
35	　비유동부채	2,888,179	2,176,501	3,180,075	부채	비유동부채	
36	　　사채	43,516	46,808	58,542	부채	비유동부채	　　사채
37	　　장기미지급금	2,472,416	1,750,379	2,808,460	부채	비유동부채	　　장기미지급금
38	　　장기충당부채	372,217	379,201	312,467	부채	비유동부채	　　장기충당부채
39	　　기타비유동부채	30	113	606	부채	비유동부채	　　기타비유동부채
40	자본	172,988,125	151,569,775	137,546,762	자본		
41	　자본금	897,514	897,514	897,514	자본	자본금	
42	　　우선주자본금	119,467	119,467	119,467	자본	자본금	　　우선주자본금
43	　　보통주자본금	778,047	778,047	778,047	자본	자본금	　　보통주자본금
44	　주식발행초과금	4,403,893	4,403,893	4,403,893	자본	주식발행초과금	주식발행초과금
45	　이익잉여금	166,555,532	150,928,724	140,747,574	자본	이익잉여금	이익잉여금
46	　기타자본항목	1,131,186	-4,660,356	-8,502,219	자본	기타자본항목	기타자본항목
47	자본과부채총계	219,021,357	198,241,360	174,802,959			
