계정과목	제 50 기	제 49 기	제 48 기
영업활동 현금흐름	44,341,217	38,906,190	23,984,804
　영업에서 창출된 현금흐름	53,596,311	41,350,471	24,901,464
　　당기순이익	32,815,127	28,800,837	11,579,749
　　조정	27,095,149	18,012,976	14,910,093
　　영업활동으로 인한 자산부채의 변동	-6,313,965	-5,463,342	-1,588,378
　이자의 수취	459,074	491,501	622,118
　이자의 지급	-343,270	-265,364	-208,010
　배당금 수입	779,567	1,118,779	903,758
　법인세 납부액	-10,150,465	-3,789,197	-2,234,526
투자활동 현금흐름	-31,678,548	-28,118,806	-14,240,450
　단기금융상품의 순감소(증가)	-7,203,807	2,960,592	-1,407,068
　단기매도가능금융자산의 처분	0	0	3,010,003
　장기금융상품의 처분	0	1,700,000	700,000
　장기금융상품의 취득	-1,860,000	-500,000	-1,700,000
　장기매도가능금융자산의 처분	0	98,265	692,547
　장기매도가능금융자산의 취득	0	-163,765	-477,744
　기타포괄손익-공정가치금융자산의 처분	7,345	0	0
　기타포괄손익-공정가치금융자산의 취득	-204,055	0	0
　당기손익-공정가치금융자산의 처분	7,421	0	0
　당기손익-공정가치금융자산의 취득	-1,776	0	0
　종속기업, 관계기업 및 공동기업 투자의 처분	25,846	1,438,362	2,416,678
　종속기업, 관계기업 및 공동기업 투자의 취득	-520,660	-7,492,843	-4,648,008
　유형자산의 처분	340,558	244,033	335,288
　유형자산의 취득	-21,387,378	-25,641,229	-12,161,084
　무형자산의 처분	706	456	6,357
　무형자산의 취득	-880,032	-843,096	-1,046,676
　현금의 기타유출입	-2,716	80,419	39,257
재무활동 현금흐름	-12,818,480	-11,801,987	-9,037,006
　단기차입금의 순증가(감소)	-1,796,186	3,300,611	1,737,871
　자기주식의 취득	-875,111	-8,350,424	-7,707,938
　사채 및 장기차입금의 상환	-5,357	-6,043	-5,860
　배당금 지급	-10,141,826	-6,746,131	-3,061,079
외화환산으로 인한 현금의 변동	0	0	8,063
현금 및 현금성자산의 증가(감소)	-155,811	-1,014,603	715,411
기초 현금 및 현금성자산	2,763,768	3,778,371	3,062,960
기말 현금 및 현금성자산	2,607,957	2,763,768	3,778,371
